Date,Consumption (Wh)
0,377992463.31944
1,387043240.50416946
2,371226108.10702544
3,373158405.82758075
4,377582517.5748954
5,383977805.2028874
6,401956489.255561
7,415071377.99949205
8,620958968.0500866
9,1044451668.055183
10,906290411.905894
11,945781567.0019386
12,1057961952.5944724
13,677037746.3410183
14,967588850.3201195
15,985817732.697014
16,1008518762.7543771
17,992706052.7288429
18,786559636.6719247
19,916914564.3299587
20,857348792.5945231
21,806655285.5682571
22,655850646.5595971
23,546816262.9905007
