Date,Consumption (Wh)
1,10195874.15631411
2,10302608.56358526
3,10725002.912690056
4,9804071.715120967
5,16288600.091613935
6,14872513.279579664
7,17224168.135601647
8,17610510.105836764
9,10591641.851224883
10,10124557.840272501
11,18697717.994078174
12,17170070.939739134
13,16221559.118799537
14,18294672.30703814
15,18219321.630250398
16,14708063.785606338
17,10544316.661218254
18,17444598.424825337
19,17705246.49373214
20,15786888.676524526
21,21856340.842944942
22,22041712.68202205
23,18428962.258421887
24,12894072.900356611
25,17960504.52672815
26,20194656.84986167
27,20122796.723372124
28,19738748.656643007
29,21590390.929601144
30,12152359.68691885
31,11116814.036803696
