Date,Consumption (Wh)
0,1039198.6470339252
1,1025716.0470924752
2,1035765.7491258369
3,1057795.2229540732
4,1071276.4447533628
5,1103405.9232111855
6,1204727.35118716
7,1213704.3066223834
8,1460297.1399633638
9,4181028.6593488203
10,3769680.122703953
11,4163176.236117655
12,5111791.6068004565
13,2017778.0454045988
14,4388423.164563458
15,3763580.799217359
16,3938340.48581785
17,3904504.6061017555
18,2718004.9570220835
19,4247435.309766693
20,3869545.7021432826
21,3476138.7410065103
22,1917729.52059805
23,2227847.8721963367
24,1318114.7349818824
25,1380812.9718540711
26,1333644.9817361566
27,1414453.040800112
28,1434228.1963143968
29,1446492.1640729927
30,1462200.2003315624
31,1566109.325368519
32,1757040.888240871
33,4341693.397007657
34,2987891.1040577744
35,4263841.812489222
36,5273098.909133097
37,2059736.482421925
38,4418711.160663001
39,4300656.463640389
40,4798953.315620351
41,5076168.903545011
42,3532279.4133927734
43,4695665.635334086
44,4245821.23033322
45,3798225.199767453
46,2118262.0520670344
47,2334472.791773321
48,1312975.747841004
49,1409592.2558720016
50,1313542.8595088944
51,1350124.0902369088
52,1500556.2052384568
53,1331541.2806997353
54,1496017.8312926774
55,1495016.534448153
56,1736504.893929094
57,4606501.478379612
58,3448289.117398217
59,3685388.110435115
60,5418527.958339052
61,2031183.4626226858
62,4443899.359351929
63,4304334.727800447
64,4341170.735751214
65,4413641.739832893
66,4359455.408301649
67,3004958.7262112536
68,2511534.4807234486
69,2591999.6437275847
70,2281902.6037528594
71,2615098.5465809656
72,1628867.6109005131
73,1659622.4045588162
74,1602576.6486304305
75,1693360.3267896927
76,1758103.1303160891
77,1635881.5286756875
78,1772892.6472177312
79,1843699.1760424443
80,2029616.902196534
81,5063489.062014799
82,3951030.348807088
83,4502648.378155698
84,5307719.8166007735
85,2027982.5553785923
86,4294590.685781106
87,4879209.909283494
88,4958799.575086126
89,4812128.709443986
90,2952911.937302553
91,4758905.33644565
92,4991934.521493592
93,3805999.439840756
94,2278651.146965317
95,2903308.1443002634
96,1920591.135589723
97,2264178.007381994
98,2005578.9650587006
99,2073102.3806191909
100,2112596.159949804
101,1999765.1318592175
102,2345300.9402965517
103,2291464.581241659
104,2714325.1612568134
105,5319603.092510803
106,3936790.945509165
107,5055278.48366768
108,6103049.389931066
109,2625010.6613639775
110,5226830.453234967
111,5482270.436435074
112,5580940.655641559
113,5460759.156888467
114,3714163.7750881827
115,5648627.413236841
116,5339294.6990416935
117,4008953.908062571
118,3070800.7747857836
119,3358533.195372977
120,2160702.707827168
121,2047317.7878421242
122,2282210.3881642194
123,1938308.1187916792
124,1888161.0056823622
125,2052664.1456198748
126,1869611.3596998472
127,2056315.9029780182
128,2130350.450432347
129,3384137.4714578176
130,2375619.1080866517
131,3400714.665567462
132,4325704.689556659
133,2729444.5161778396
134,3647060.3864912787
135,3775286.1389183896
136,4162578.705200843
137,3414568.8339464148
138,2859122.0781734553
139,2972148.812120785
140,2810015.848103402
141,2702601.6574258623
142,2570269.048352598
143,2628722.3191401167
144,1658963.9175588575
145,1685496.5892284277
146,1660919.6265678715
147,1736234.2384216045
148,1773583.4291996371
149,1764362.585915419
150,1480392.6906073263
151,1530185.951096325
152,1834823.8818496536
153,1910944.758909145
154,2091201.510205034
155,2744247.933884292
156,3210804.985355804
157,2739515.197416704
158,2972962.795396997
159,3041842.961984862
160,3249278.65210537
161,2966456.529433345
162,2864236.8463804666
163,2737214.4766120533
164,2621198.6617761436
165,2495825.0489665605
166,2369744.181855387
167,2264326.900613832
