Date,Consumption (Wh)
0,48738.30964480364
1,56435.10912447189
2,36142.04205117247
3,37484.7955141442
4,38554.141382219146
5,36047.1612344295
6,35393.51937966745
7,35523.23618777403
8,36716.79305203341
9,605513.2695876735
10,406333.1673932425
11,396834.8265545306
12,544481.2183106422
13,16602.509514842262
14,407582.81584828044
15,417228.8109785345
16,436363.8514355315
17,421497.52485813695
18,152893.58948049534
19,341898.07996578445
20,281273.70162915
21,237912.94724551114
22,55487.451763705045
23,241356.43406805114
