Date,Consumption (Wh)
1,38291.291655775334
2,38562.409041403145
3,40508.07454098362
4,35100.803985335595
5,279012.765981761
6,255986.491352819
7,356000.7259683335
8,333181.9248982021
9,35100.803985335595
10,35472.477425231016
11,402897.22380382934
12,338365.90834926075
13,286562.740669574
14,376178.46176873543
15,368036.24582133186
16,218905.84263422573
17,52667.31496140401
18,340211.07165046345
19,349413.4243927013
20,266706.1722174464
21,521556.40869547334
22,527279.7242864645
23,357582.43023270444
24,125434.37370286016
25,334801.12960450945
26,429495.53749094816
27,420862.57695610967
28,403778.4594358686
29,480904.5036288467
30,114640.19356197421
31,77596.57012115374
