Date,Consumption (Wh)
0,12682.88435075898
1,20397.840515916112
2,24230.81083335894
3,28142.8929545997
4,28506.423075764986
5,27486.101160004095
6,28155.88784893461
7,28255.305677426302
8,28728.07613298343
9,726547.3787213939
10,539601.1841924089
11,496026.16907166777
12,696624.2301871137
13,16752.463020995863
14,545053.376922374
15,526984.3751025398
16,550161.1263362782
17,537122.384709382
18,195534.75139911633
19,499486.6656104872
20,410976.5649637162
21,358497.580932625
22,59281.20889820198
23,245147.53532621777
24,52128.83837365205
25,64321.11397030369
26,35280.324764600264
27,35100.292315255705
28,35582.10120306635
29,34279.48985398409
30,33230.55787956407
31,34337.678438279014
32,34114.339328362534
33,733614.1636097862
34,498474.4869931214
35,488999.95748939284
36,674962.774137362
37,16924.876805790667
38,519929.97488856135
39,498028.4108520077
40,533163.5575498011
41,529683.4492838853
42,200800.1772580024
43,495575.58129786677
44,422785.83848767116
45,347830.13312872226
46,66136.17479385507
47,268410.44170031755
48,63719.52814124456
49,76371.69137425898
50,40734.468397501776
51,40726.128515914854
52,43358.50833098746
53,36008.90668977121
54,37583.54262493973
55,36570.47825979437
56,40169.802617586516
57,751065.6205738096
58,487934.959687987
59,472818.23688553896
60,654782.5216919035
61,16746.78641761378
62,480925.67999331583
63,526732.6510816154
64,530880.5316701113
65,541881.6123284679
66,256784.88261174937
67,350133.0029997382
68,246291.62903751293
69,204344.16761467353
70,70529.82425457175
71,243100.69741622775
72,52407.65926733807
73,56517.274497049984
74,34424.21300403774
75,40662.82651713203
76,42352.99492199728
77,38287.90280468172
78,39743.44245428157
79,40646.20760803049
80,42889.10943468924
81,787107.0183138641
82,546995.298144567
83,526726.7421700491
84,676816.8951043015
85,17913.35843326726
86,511400.34445525915
87,528500.6491474181
88,551609.6658095329
89,524989.0019752764
90,174854.16486349123
91,499205.7893210168
92,432214.7676973333
93,353998.7235110701
94,66380.68540685564
95,258304.9054635329
96,59975.423242671386
97,64538.449837479144
98,41458.47985937162
99,42141.356051090275
100,43748.35935297762
101,39393.305573602745
102,44520.73383535784
103,41858.72546023194
104,46084.19206876658
105,743004.9332923898
106,460051.63077972084
107,454835.45623692544
108,615525.9753060513
109,15365.024031712219
110,489336.4241354372
111,514846.53097816184
112,514158.45144826826
113,519972.40160952753
114,174156.85199982687
115,443037.9787020253
116,383223.2156206618
117,328117.06423446914
118,63108.82541551818
119,263502.42820398055
120,62741.848550389994
121,71573.08368786423
122,46852.64085117608
123,39715.84990579962
124,39069.09979705256
125,40987.440990601186
126,36091.449396753655
127,38418.20060865865
128,35966.42022294555
129,352886.2277017739
130,201085.46797727834
131,227668.90512274735
132,333994.2000101419
133,17439.11223853941
134,210839.1868657706
135,238142.60117305553
136,277619.96447970864
137,222390.46361648792
138,42651.81802886437
139,57771.285806080625
140,42584.81704079889
141,37683.52614698483
142,37150.88182441976
143,219670.28469309927
144,37511.98558757042
145,41170.47651318093
146,29911.11745954169
147,35814.67309812212
148,37161.6141865578
149,35822.63263876196
150,28253.498262923582
151,28454.220929834795
152,28885.469270116722
153,141723.4744448365
154,109156.09660479729
155,109652.92218073146
156,157295.68641078664
157,15099.743453729137
158,94022.53890249204
159,85489.19466879684
160,95457.61275477523
161,72549.61285409731
162,25063.571307814324
163,46131.25797065617
164,28878.510979595703
165,33184.74059255314
166,25677.996874593413
167,190932.8611703683
