Date,Consumption (Wh)
0,184558.1647070461
1,184836.06680427847
2,184836.06680427847
3,184836.06680427847
4,184836.06680427847
5,184836.06680427847
6,184836.06680427847
7,184836.06680427847
8,184836.06680427847
9,184836.06680427847
10,184836.06680427847
11,184836.06680427847
12,184836.06680427847
13,184836.06680427847
14,184836.06680427847
15,184836.06680427847
16,184836.06680427847
17,184836.06680427847
18,184836.06680427847
19,184836.06680427847
20,184836.06680427847
21,184836.06680427847
22,184836.06680427847
23,184836.06680427847
