Date,Consumption (Wh)
1,92056.38756487706
2,84954.89715970863
3,90197.80276826485
4,69971.40655713198
5,94781.22956756904
6,70439.22517395086
7,68842.05690367472
8,91616.07034681452
9,89161.16025630572
10,82391.57592683194
11,69729.51140737117
12,69078.41996222005
13,81059.85880762123
14,76538.44496629703
15,81541.5076524788
16,86673.23607305936
17,82065.4502269515
18,81623.86442976735
19,81639.47920335943
20,81699.97529761905
21,81650.8110676234
22,74781.91677810394
23,91563.24779843444
24,93608.33700260927
25,87875.39518509457
26,89095.7566617743
27,87634.2138535551
28,89081.03416095891
29,87656.07453658404
30,84532.31677266798
31,69994.07028565994
