Date,Consumption (Wh)
0,185166.44911670036
1,184313.4240025451
2,184313.4240025451
3,184313.4240025451
4,184313.4240025451
5,184313.4240025451
6,184313.4240025451
7,184313.4240025451
8,184313.4240025451
9,184313.4240025451
10,184313.4240025451
11,184313.4240025451
12,184313.4240025451
13,184313.4240025451
14,184313.4240025451
15,184313.4240025451
16,184313.4240025451
17,184313.4240025451
18,184313.4240025451
19,184313.4240025451
20,184313.4240025451
21,184313.4240025451
22,184313.4240025451
23,184313.4240025451
24,184313.4240025451
25,185500.9240025451
26,185500.9240025451
27,185500.9240025451
28,185500.9240025451
29,185500.9240025451
30,185500.9240025451
31,185500.9240025451
32,185500.9240025451
33,185500.9240025451
34,185500.9240025451
35,185500.9240025451
36,185500.9240025451
37,185500.9240025451
38,185500.9240025451
39,185500.9240025451
40,185500.9240025451
41,185500.9240025451
42,185500.9240025451
43,185500.9240025451
44,185500.9240025451
45,185500.9240025451
46,185500.9240025451
47,185500.9240025451
48,185500.9240025451
49,183836.11235870948
50,183836.11235870948
51,183836.11235870948
52,183836.11235870948
53,183836.11235870948
54,183836.11235870948
55,183836.11235870948
56,183836.11235870948
57,183836.11235870948
58,183836.11235870948
59,183836.11235870948
60,183836.11235870948
61,183836.11235870948
62,183836.11235870948
63,183836.11235870948
64,183836.11235870948
65,183836.11235870948
66,183836.11235870948
67,183836.11235870948
68,183836.11235870948
69,183836.11235870948
70,183836.11235870948
71,183836.11235870948
72,183836.11235870948
73,183423.013043641
74,183423.013043641
75,183423.013043641
76,183423.013043641
77,183423.013043641
78,183423.013043641
79,183423.013043641
80,183423.013043641
81,183423.013043641
82,183423.013043641
83,183423.013043641
84,183423.013043641
85,183423.013043641
86,183423.013043641
87,183423.013043641
88,183423.013043641
89,183423.013043641
90,183423.013043641
91,183423.013043641
92,183423.013043641
93,183423.013043641
94,183423.013043641
95,183423.013043641
96,183423.013043641
97,186222.3757003617
98,186222.3757003617
99,186222.3757003617
100,186222.3757003617
101,186222.3757003617
102,186222.3757003617
103,186222.3757003617
104,186222.3757003617
105,186222.3757003617
106,186222.3757003617
107,186222.3757003617
108,186222.3757003617
109,186222.3757003617
110,186222.3757003617
111,186222.3757003617
112,186222.3757003617
113,186222.3757003617
114,186222.3757003617
115,186222.3757003617
116,186222.3757003617
117,186222.3757003617
118,186222.3757003617
119,186222.3757003617
120,184303.72080619808
121,185363.50961898346
122,185363.50961898346
123,185363.50961898346
124,185363.50961898346
125,185363.50961898346
126,185363.50961898346
127,185363.50961898346
128,185363.50961898346
129,185363.50961898346
130,185363.50961898346
131,185363.50961898346
132,185363.50961898346
133,185363.50961898346
134,185363.50961898346
135,185363.50961898346
136,185363.50961898346
137,185363.50961898346
138,185363.50961898346
139,185363.50961898346
140,185363.50961898346
141,185363.50961898346
142,185363.50961898346
143,185363.50961898346
144,185363.50961898346
145,185166.44911670036
146,185166.44911670036
147,185166.44911670036
148,185166.44911670036
149,185166.44911670036
150,185166.44911670036
151,185166.44911670036
152,185166.44911670036
153,185166.44911670036
154,185166.44911670036
155,185166.44911670036
156,185166.44911670036
157,185166.44911670036
158,185166.44911670036
159,185166.44911670036
160,185166.44911670036
161,185166.44911670036
162,185166.44911670036
163,185166.44911670036
164,185166.44911670036
165,185166.44911670036
166,185166.44911670036
167,185166.44911670036
