Date,hospitalized
1,249.08333333333334
2,217.58333333333334
3,205.5
4,219.08333333333334
5,313.6666666666667
6,240.25
7,174.08333333333334
8,225.33333333333334
9,217.0
10,239.91666666666666
11,211.66666666666666
12,216.58333333333334
13,142.41666666666666
14,141.75
15,213.75
16,214.5
17,208.16666666666666
18,210.25
19,201.58333333333334
20,219.41666666666666
21,205.08333333333334
22,196.75
23,193.5
24,204.16666666666666
25,191.75
26,214.66666666666666
27,264.1666666666667
28,248.66666666666666
29,219.0909090909091
30,176.0
31,224.14285714285714
