Date,Consumption (Wh)
0,174834.4945054945
1,175044.9205479452
2,172172.31780821917
3,172172.31780821917
4,174087.38630136987
5,179832.5917808219
6,192280.53698630136
7,212388.75616438355
8,222921.63287671233
9,236327.11232876714
10,249732.5917808219
11,369279.5922762978
12,386346.6928472705
13,400604.55783405656
14,403376.83502920746
15,406506.6700630095
16,407934.37024540437
17,388686.2496088133
18,373351.23410360195
19,362644.81035389233
20,352555.65483723197
21,334214.02403539064
22,319583.5002594959
23,179832.5917808219
