Date,Consumption (Wh)
1,275093.8613058852
2,279951.99651224376
3,270340.0207416171
4,265300.3347273523
5,263199.3599882555
6,269790.4008414077
7,274648.7228789012
8,277601.9779523585
9,283313.0945511642
10,289596.0438080515
11,279435.2076030255
12,281104.31507872307
13,278298.98925944726
14,288183.91081042716
15,299762.2962465577
16,290062.967704698
17,306384.6562663119
18,309962.2680430028
19,297074.3843035047
20,294045.6858408828
21,284258.95262684324
22,275371.9898145881
23,281561.9962946108
24,284827.3975243416
25,285602.9197395267
26,299314.5044948841
27,295244.2108465365
28,302537.8826977525
29,294728.98304126406
30,272067.40562477
31,302006.1236894508
