Date,Consumption (Wh)
0,185396.3076923077
1,185396.3076923077
2,171954.0
3,171954.0
4,171954.0
5,185396.3076923077
6,198838.61538461538
7,232444.38461538462
8,245886.6923076923
9,245886.6923076923
10,259329.0
11,369532.49167488306
12,391374.42862939683
13,385069.8748759252
14,402417.9614560865
15,406625.2312853339
16,394719.8685538299
17,387703.5927757472
18,376708.5399688207
19,362482.71201328526
20,342034.1049360363
21,335397.355828913
22,313848.19373636
23,185396.3076923077
24,178675.15384615384
25,178675.15384615384
26,171954.0
27,171954.0
28,171954.0
29,178675.15384615384
30,192117.46153846153
31,225723.23076923078
32,219002.07692307694
33,245886.6923076923
34,245886.6923076923
35,370436.19086303073
36,379057.4313571006
37,405439.49845323805
38,395766.49196359416
39,400007.5873082512
40,400821.56681394816
41,367406.9788634991
42,349790.28787018335
43,342303.32007104554
44,335190.8085675726
45,322078.1486594458
46,314075.2596039685
47,171954.0
48,171954.0
49,171954.0
50,171954.0
51,171954.0
52,171954.0
53,178675.15384615384
54,192117.46153846153
55,198838.61538461538
56,219002.07692307694
57,239165.53846153847
58,252607.84615384616
59,367629.03804145247
60,375224.85601377365
61,381644.61820063845
62,385483.1688267781
63,388962.6445157378
64,376152.6079921834
65,362737.4156578459
66,352033.8123349237
67,345883.38975783414
68,345498.37457899854
69,325829.7231860438
70,310882.774609195
71,178675.15384615384
72,171954.0
73,171954.0
74,171954.0
75,171954.0
76,185396.3076923077
77,178675.15384615384
78,185396.3076923077
79,198838.61538461538
80,212280.92307692306
81,232444.38461538462
82,245886.6923076923
83,366810.85867271514
84,374188.7650403238
85,387641.88762469875
86,384607.6361534437
87,388189.4155312799
88,395820.35800369864
89,389814.35660633084
90,372617.2615414485
91,353640.2415112039
92,345735.4366189259
93,325780.6450581989
94,330895.5935088368
95,171954.0
96,171954.0
97,173457.50943396226
98,173457.50943396226
99,173457.50943396226
100,173457.50943396226
101,180051.84905660377
102,186646.18867924527
103,219617.88679245283
104,219617.88679245283
105,226212.22641509434
106,239400.90566037735
107,352902.08831577783
108,375299.5594088729
109,404857.1373493661
110,397735.1271354926
111,395698.9520370245
112,409833.1713552761
113,383843.44769582973
114,365857.19362865965
115,360982.37811152986
116,338021.0666939267
117,330780.8253330986
118,312768.4342678144
119,180051.84905660377
120,171954.0
121,171954.0
122,171954.0
123,171954.0
124,171954.0
125,178675.15384615384
126,192117.46153846153
127,205559.76923076922
128,232444.38461538462
129,232444.38461538462
130,252607.84615384616
131,378984.09227409
132,398469.59292963665
133,427321.01990722574
134,423769.92344133504
135,431768.2723579342
136,437490.24662799906
137,416754.7347858245
138,396884.6380810343
139,383140.08512725966
140,380249.7073493503
141,353283.0287259441
142,324022.35856855515
143,178675.15384615384
144,171954.0
145,171954.0
146,171954.0
147,171954.0
148,171954.0
149,178675.15384615384
150,198838.61538461538
151,205559.76923076922
152,212280.92307692306
153,232444.38461538462
154,252607.84615384616
155,378977.3380913762
156,411024.6614256046
157,412176.08805200935
158,433966.0306102932
159,434502.4281367741
160,440666.2569649363
161,412636.351682635
162,399711.0214631228
163,390113.5157359026
164,381439.59642626153
165,346414.46450805734
166,330722.94648312003
167,192117.46153846153
