Date,Consumption (Wh)
0,99174.40851844313
1,99911.73566811842
2,99618.74584704866
3,100094.67041181833
4,101162.23947896108
5,103485.61156225941
6,108789.04843732754
7,110916.10921592175
8,113076.75211100793
9,114867.04006195338
10,115174.03947395115
11,115770.86115485859
12,114595.50901684955
13,113967.40509383168
14,115393.78467023566
15,119463.11011316038
16,122683.19777623999
17,123813.17329357532
18,122562.19670825927
19,120558.04295391808
20,117201.55027128235
21,113093.84827004586
22,108860.16200888279
23,108730.65304055915
