Date,Consumption (Wh)
1,23623.716423119065
2,20543.858491483898
3,23534.390881900443
4,23352.41133568592
5,23598.345143571933
6,20446.2167840742
7,20341.71092214171
8,23709.493116017922
9,23271.73317188233
10,20521.92414035171
11,23438.549488215143
12,23396.371613664163
13,23499.913829035522
14,23597.522827289413
15,23282.35905934173
16,20882.543746803756
17,20488.924361138877
18,23360.946218658122
19,23207.518626058012
20,23572.302389217537
21,23273.24604037781
22,24552.957459980764
23,23675.289429249682
24,24035.293191562505
25,28067.165618476847
26,27025.796476087588
27,28305.164345667235
28,28346.170458216497
29,28119.91868358883
30,20824.971202481043
31,23339.04414690981
