Date,Consumption (Wh)
0,99182.05977565872
1,99923.07559767671
2,99438.51409924451
3,100004.10489512571
4,101135.94817370112
5,103802.32825600574
6,109552.796243556
7,111714.8992338107
8,113995.5692870981
9,115234.44199326255
10,114795.02339030524
11,115062.88269911909
12,113515.2240301471
13,112952.23526418519
14,115115.50925816307
15,120074.93827054907
16,124439.37727820445
17,126660.97613433133
18,125912.40992931437
19,123838.06693258509
20,120281.1326902429
21,115660.96867896173
22,110409.69944351832
23,110391.39198276821
24,99174.25666717911
25,99613.56940877104
26,99440.30704705745
27,100025.67438792926
28,101326.84484426769
29,104043.70282609036
30,109806.24577046576
31,112203.8465280759
32,114289.13729130424
33,115316.08766954126
34,114600.05106916955
35,114790.69024701676
36,113039.33234265554
37,112415.52451906005
38,114451.21966507536
39,120446.69339004872
40,125201.61068101157
41,127483.86976257185
42,127272.23162968653
43,125508.58522784422
44,121262.38965700535
45,116094.20869655054
46,111129.8825861426
47,111502.51931543573
48,99173.34904985454
49,99618.19706199791
50,99443.36454316767
51,100014.85512583662
52,101310.1535187429
53,103935.34156416336
54,109905.33830777124
55,112159.8982058367
56,114103.8551547585
57,115185.56033892705
58,114682.66301014858
59,114659.50753023241
60,112821.06199546586
61,112413.34737070795
62,114388.3577915993
63,120267.59263605048
64,124991.1364624031
65,127427.14237010478
66,127359.05740408333
67,125509.42442188112
68,121445.7445199883
69,116504.19157290344
70,111136.986822436
71,111379.83342513061
72,99177.7251113431
73,99573.00650891942
74,99479.10376128943
75,100032.0895135679
76,101395.08858622349
77,104045.566092797
78,109707.28665823792
79,111994.46660914233
80,114074.68343601556
81,115267.09979534241
82,114886.53525703255
83,114789.67086545847
84,112966.20711340832
85,112354.13727825748
86,114627.0701240415
87,119921.82515302756
88,124890.81732132612
89,127421.77294731898
90,126699.86573689849
91,125388.54520533216
92,121849.63791639984
93,116550.16933910846
94,111111.89572115325
95,111667.5511127632
96,99177.61298046377
97,101222.74832333389
98,101031.44678947797
99,101652.62984268749
100,102914.42298343939
101,105487.74101339414
102,111429.76484184201
103,113841.52832420252
104,116164.73472258415
105,117260.38222437199
106,116742.53054095329
107,116681.82332281435
108,115002.61000194728
109,114482.39871117503
110,116464.940543392
111,122029.6901892856
112,127061.42058963192
113,129514.30115610504
114,128861.54463399516
115,127152.41188618014
116,123400.42098898828
117,118211.21987477281
118,112583.09088998185
119,112758.74988817146
120,99161.16481775456
121,99546.51858492524
122,99233.00587193009
123,99430.28757811259
124,99979.3950177648
125,101553.7720572882
126,105621.30703842573
127,107242.94622563665
128,109451.57578961673
129,112856.02963360655
130,115271.08894077742
131,117248.8488287524
132,117447.65910642866
133,116658.71309688213
134,116329.16134910598
135,116685.78844903813
136,116210.57032883282
137,114155.5276170812
138,110951.72964339014
139,108286.00679589271
140,106085.0866425147
141,104311.79913415978
142,102800.33516581278
143,101665.172825218
144,99174.6912268481
145,99859.82240937362
146,99238.31149135753
147,99473.09078118281
148,100040.1273919636
149,101492.3266366322
150,105449.81719321488
151,107198.92132497285
152,109398.32481468638
153,112903.65296780612
154,115210.22081952138
155,117145.08608738662
156,117368.63966279608
157,116485.57569314352
158,116359.63480886564
159,116765.88539496683
160,115903.25517970473
161,113918.98599323466
162,110757.39667418276
163,108096.44542055228
164,105967.23043157357
165,104225.96960146561
166,102777.64864695982
167,101671.88933351108
