Date,office_population
0,0.0
1,0.010958904109589041
2,0.06301369863013699
3,0.34794520547945207
4,1.2794520547945205
5,3.8602739726027395
6,9.6
7,20.994520547945207
8,38.95890410958904
9,61.88493150684931
10,86.55890410958904
11,107.46301369863014
12,122.23287671232876
13,129.62739726027397
14,129.46301369863014
15,121.26575342465753
16,105.2027397260274
17,83.59452054794521
18,59.87123287671233
19,39.443835616438356
20,24.15068493150685
21,14.375342465753425
22,8.898630136986302
23,5.742465753424658
