Date,Consumption (Wh)
0,2888.5
1,2888.6493150684933
2,2888.6493150684933
3,2888.6493150684933
4,2888.6493150684933
5,2888.6493150684933
6,2888.6493150684933
7,2889.0602739726028
8,24123.827397260273
9,24222.868493150683
10,24358.48493150685
11,24503.964383561644
12,24632.183561643837
13,24724.649315068495
14,24764.512328767123
15,24760.813698630136
16,24715.197260273973
17,24614.923287671234
18,24487.93698630137
19,24345.33424657534
20,24229.854794520546
21,24132.868493150683
22,24060.12876712329
23,2889.0602739726028
