Date,Consumption (Wh)
1,16445.905923344948
2,16403.708333333332
3,16332.354166666666
4,16296.9375
5,16313.083333333334
6,16331.3125
7,16328.1875
8,16359.4375
9,16383.916666666666
10,16323.5
11,16362.041666666666
12,16390.166666666668
13,16376.625
14,16338.604166666666
15,16427.51736111111
16,16394.190972222223
17,16342.25
18,16362.041666666666
19,16375.0625
20,16358.916666666666
21,16366.208333333334
22,16384.958333333332
23,16358.916666666666
24,16344.854166666666
25,16362.5625
26,16393.8125
27,16358.395833333334
28,16357.354166666666
29,16411.727272727272
30,16364.0
31,16272.357142857143
