Date,Consumption (Wh)
0,2888.5
1,2888.5
2,2888.5
3,2888.5
4,2888.5
5,2888.5
6,2888.5
7,2888.5
8,24147.0
9,24276.80769230769
10,24449.884615384617
11,24637.384615384617
12,24801.80769230769
13,24922.96153846154
14,24974.884615384617
15,24974.884615384617
16,24914.30769230769
17,24778.73076923077
18,24622.96153846154
19,24441.23076923077
20,24288.346153846152
21,24164.30769230769
22,24060.46153846154
23,2888.5
24,2888.5
25,2888.5
26,2888.5
27,2888.5
28,2888.5
29,2888.5
30,2888.5
31,2891.3846153846152
32,24158.53846153846
33,24305.653846153848
34,24507.576923076922
35,24706.615384615383
36,24894.115384615383
37,25012.384615384617
38,25072.96153846154
39,25067.19230769231
40,25000.846153846152
41,24853.73076923077
42,24669.115384615383
43,24475.846153846152
44,24317.19230769231
45,24181.615384615383
46,24069.115384615383
47,2888.5
48,2888.5
49,2888.5
50,2888.5
51,2888.5
52,2888.5
53,2888.5
54,2888.5
55,2888.5
56,24170.076923076922
57,24308.53846153846
58,24501.80769230769
59,24700.846153846152
60,24882.576923076922
61,25021.03846153846
62,25078.73076923077
63,25075.846153846152
64,25006.615384615383
65,24868.153846153848
66,24683.53846153846
67,24478.73076923077
68,24308.53846153846
69,24175.846153846152
70,24069.115384615383
71,2888.5
72,2888.5
73,2888.5
74,2888.5
75,2888.5
76,2888.5
77,2888.5
78,2888.5
79,2888.5
80,24170.076923076922
81,24308.53846153846
82,24484.5
83,24715.26923076923
84,24897.0
85,25029.69230769231
86,25081.615384615383
87,25072.96153846154
88,25012.384615384617
89,24871.03846153846
90,24683.53846153846
91,24470.076923076922
92,24317.19230769231
93,24170.076923076922
94,24086.423076923078
95,2891.3846153846152
96,2888.5
97,2889.5283018867926
98,2889.5283018867926
99,2889.5283018867926
100,2889.5283018867926
101,2889.5283018867926
102,2889.5283018867926
103,2889.5283018867926
104,24151.56603773585
105,24290.245283018867
106,24494.01886792453
107,24694.962264150945
108,24876.094339622643
109,25011.943396226416
110,25068.54716981132
111,25060.056603773584
112,24997.79245283019
113,24859.11320754717
114,24683.64150943396
115,24479.867924528302
116,24307.22641509434
117,24168.54716981132
118,24066.66037735849
119,2889.5283018867926
120,2888.5
121,2888.5
122,2888.5
123,2888.5
124,2888.5
125,2888.5
126,2888.5
127,2888.5
128,24034.5
129,24034.5
130,24034.5
131,24034.5
132,24034.5
133,24034.5
134,24034.5
135,24034.5
136,24034.5
137,24034.5
138,24034.5
139,24034.5
140,24034.5
141,24034.5
142,24034.5
143,2888.5
144,2888.5
145,2888.5
146,2888.5
147,2888.5
148,2888.5
149,2888.5
150,2888.5
151,2888.5
152,24034.5
153,24034.5
154,24034.5
155,24034.5
156,24034.5
157,24034.5
158,24034.5
159,24034.5
160,24034.5
161,24034.5
162,24034.5
163,24034.5
164,24034.5
165,24034.5
166,24034.5
167,2888.5
