Date,patients_total
1,96.66666666666667
2,117.25
3,78.0
4,86.66666666666667
5,79.58333333333333
6,142.58333333333334
7,151.83333333333334
8,101.75
9,131.5
10,141.08333333333334
11,172.16666666666666
12,152.58333333333334
13,146.91666666666666
14,139.91666666666666
15,131.33333333333334
16,143.41666666666666
17,151.58333333333334
18,140.5
19,150.83333333333334
20,144.25
21,134.25
22,128.75
23,126.41666666666667
24,141.08333333333334
25,160.08333333333334
26,131.25
27,93.91666666666667
28,111.08333333333333
29,105.0
30,108.45454545454545
31,123.71428571428571
