Date,presence_in_building
0,910.0
1,909.8387096774194
2,909.258064516129
3,905.8709677419355
4,895.516129032258
5,866.1612903225806
6,811.8709677419355
7,731.3870967741935
8,636.9677419354839
9,588.4193548387096
10,547.7741935483871
11,513.1290322580645
12,489.741935483871
13,477.6774193548387
14,494.61290322580646
15,514.516129032258
16,540.0967741935484
17,571.6451612903226
18,602.9354838709677
19,628.5483870967741
20,648.8709677419355
21,655.9032258064516
22,647.1612903225806
23,634.258064516129
