Date,presence_in_building
1,597.4583333333334
2,677.375
3,595.6666666666666
4,728.0833333333334
5,559.875
6,779.7916666666666
7,774.0
8,573.75
9,601.3333333333334
10,690.9583333333334
11,778.1666666666666
12,781.5833333333334
13,706.4583333333334
14,728.375
15,706.0416666666666
16,660.25
17,712.0
18,707.75
19,713.375
20,708.2916666666666
21,709.9166666666666
22,737.7083333333334
23,579.0416666666666
24,565.9583333333334
25,618.2916666666666
26,611.4166666666666
27,615.0
28,607.625
29,616.9166666666666
30,671.6666666666666
31,723.25
