Date,presence_in_building
0,910.0
1,910.0
2,909.75
3,907.25
4,895.0
5,865.5
6,826.5
7,750.75
8,644.0
9,613.0
10,581.75
11,544.5
12,521.0
13,517.25
14,543.75
15,566.0
16,596.0
17,626.25
18,665.5
19,694.0
20,716.75
21,729.25
22,729.5
23,730.5
24,910.0
25,909.75
26,909.5
27,905.5
28,893.75
29,862.0
30,809.5
31,721.5
32,631.0
33,574.0
34,522.0
35,487.25
36,467.25
37,462.0
38,480.0
39,498.0
40,526.5
41,560.25
42,597.75
43,626.75
44,651.25
45,664.0
46,663.75
47,664.25
48,910.0
49,909.5
50,909.0
51,905.5
52,897.0
53,872.25
54,824.0
55,751.25
56,654.75
57,605.25
58,569.25
59,544.0
60,526.25
61,514.75
62,537.5
63,550.75
64,569.5
65,611.0
66,649.5
67,680.25
68,710.25
69,717.0
70,720.75
71,718.0
72,910.0
73,909.5
74,908.5
75,905.75
76,895.25
77,868.75
78,822.75
79,750.5
80,659.25
81,621.5
82,582.75
83,550.5
84,528.25
85,518.75
86,537.75
87,555.75
88,585.25
89,615.75
90,645.0
91,680.25
92,704.75
93,719.25
94,722.25
95,721.5
96,910.0
97,910.0
98,909.4
99,904.6
100,892.6
101,863.4
102,794.6
103,702.4
104,604.8
105,545.0
106,497.6
107,467.2
108,447.4
109,432.4
110,456.4
111,477.8
112,504.0
113,534.8
114,571.6
115,594.6
116,617.8
117,629.4
118,626.2
119,619.0
120,910.0
121,910.0
122,909.2
123,905.2
124,896.0
125,863.6
126,801.4
127,716.4
128,630.2
129,570.2
130,529.4
131,495.0
132,469.6
133,447.4
134,452.8
135,470.0
136,493.8
137,528.0
138,550.2
139,562.0
140,572.4
141,576.0
142,545.2
143,506.4
144,910.0
145,910.0
146,909.4
147,907.4
148,898.8
149,868.4
150,811.4
151,736.6
152,643.0
153,602.0
154,564.6
155,518.2
156,485.2
157,471.6
158,478.2
159,505.8
160,529.0
161,550.8
162,570.2
163,595.4
164,606.4
165,597.6
166,572.0
167,539.6
