Date,Consumption (Wh)
0,62054.65441756889
1,62233.40915408162
2,62428.02634099579
3,62930.40498200462
4,64055.07756645467
5,66504.02471372437
6,72090.14066859412
7,74304.7227190464
8,76533.62260957278
9,78378.43750934655
10,78808.58217901405
11,79445.65079323712
12,78203.09421842337
13,77566.59442216778
14,79109.5545612698
15,83380.53312793687
16,86811.99147174931
17,87986.52328772414
18,86650.60547762258
19,84529.0028970947
20,80983.29236558887
21,76645.9623225019
22,72180.44389981628
23,72051.8037090951
