Date,Consumption (Wh)
1,26897.513350512563
2,23691.506276050826
3,26860.68989305296
4,26669.311420719805
5,26935.95949914081
6,23601.065347326145
7,23519.044919501044
8,27059.796201704823
9,26574.72135458517
10,23673.79233477447
11,26771.718850482484
12,26767.86794000123
13,26869.246187433862
14,26961.830892760216
15,26633.768027926144
16,24088.61128459247
17,23650.848806428883
18,26693.920430615388
19,26550.45605008599
20,26933.92780448502
21,26621.071114504753
22,27971.870924013245
23,27041.153254758232
24,27373.477858939485
25,31641.006647100887
26,30564.140030918858
27,31915.464898644434
28,31963.3078284154
29,31720.64434629509
30,24013.948176899776
31,26669.15921954639
