Date,Consumption (Wh)
0,62056.745157519596
1,62141.0104309546
2,62359.95262440022
3,62957.43511694132
4,64149.20687239778
5,66959.43875905655
6,73018.72299787587
7,75271.4613537251
8,77625.2808114697
9,78881.34616898875
10,78537.85978186862
11,78823.3289838915
12,77191.41890000261
13,76624.10709142059
14,78940.55487759557
15,84140.47066446581
16,88797.61422913261
17,91131.12579207653
18,90320.1743839103
19,88119.63439224637
20,84361.1175230487
21,79483.79802346035
22,73939.13703695883
23,73932.51806877165
24,62056.92543736822
25,62116.98299390238
26,62361.78212222372
27,62979.30855832955
28,64350.26453750863
29,67215.58614582905
30,73286.1676414051
31,75783.74038928191
32,77929.12135055606
33,78976.1220643037
34,78325.83200571314
35,78530.94839242082
36,76690.32683131157
37,76059.61036790139
38,78238.20752563844
39,84526.7320892893
40,89607.16487700563
41,91999.50115480112
42,91762.8571588954
43,89888.88836167842
44,85397.85044782815
45,79940.9825460866
46,74700.03927150916
47,75108.7969918397
48,62057.72182723895
49,62133.73667337196
50,62365.29514107764
51,62968.57650288722
52,64333.52175566163
53,67101.89489668811
54,73392.42051244
55,75742.40178982083
56,77739.20549278642
57,78843.32041455487
58,78418.62891641907
59,78392.9888294351
60,76458.87768541844
61,76057.27904688256
62,78174.78050889142
63,84337.80083496888
64,89384.9363448069
65,91944.76230068179
66,91852.96297362393
67,89886.59209584491
68,85593.71382868236
69,80374.16838314386
70,74708.42287290299
71,74979.86017377213
72,62061.5282940152
73,62124.75732688231
74,62403.20558365556
75,62986.85913688602
76,64424.28001367624
77,67218.2899597245
78,73181.83119191082
79,75569.87553950956
80,77711.21545853092
81,78929.8129402825
82,78630.16019905778
83,78531.1220928384
84,76612.14306960952
85,75991.192342659
86,78428.18737115705
87,83969.57957379388
88,89279.05544430004
89,91938.21556064893
90,91153.8205957693
91,89757.68865806489
92,86019.61661736452
93,80422.8246187149
94,74682.43013705123
95,75284.7373773149
96,62061.89198975663
97,62985.372381626126
98,63199.77914139039
99,63855.94717911808
100,65185.438388168295
101,67898.49688791209
102,74156.90886779857
103,76671.37917499868
104,79072.18219324587
105,80182.13014143785
106,79746.94730375674
107,79687.74036109823
108,77918.53489662343
109,77396.40901698904
110,79524.56438309123
111,85358.79345406985
112,90731.97030245156
113,93302.83385452187
114,92593.67425517015
115,90778.49758494033
116,86813.51072359196
117,81333.53358549753
118,75392.03647379449
119,75591.88475310362
120,62045.682344451576
121,62056.08441884533
122,62142.83810038681
123,62350.86314396744
124,62928.37718205378
125,64586.39387339739
126,68868.10860107592
127,70547.39033010328
128,72830.77916881799
129,76372.00736005261
130,79025.50906990776
131,81131.82496939258
132,81321.70692716881
133,80510.91724354871
134,80207.45521196674
135,80600.9844977285
136,80068.23527334124
137,77870.97981592796
138,74475.51220855999
139,71677.36431364623
140,69355.82790342142
141,67483.9463856993
142,65902.02908959363
143,64698.31734574075
144,62042.08587263205
145,62061.45902168972
146,62148.490273828604
147,62396.04634749671
148,62992.716507606434
149,64521.25570088242
150,68687.07932536016
151,70501.29783173247
152,72778.7553380703
153,76429.63707903454
154,78957.0924932071
155,81016.94635497048
156,81234.12351347918
157,80329.91864202666
158,80245.15109243624
159,80691.32731343164
160,79739.57962292442
161,77616.00779374168
162,74280.94698324539
163,71474.17228309085
164,69229.28993137725
165,67392.33711369941
166,65877.25102125018
167,64698.43277150738
