,datetime,Usage_kWh,Motor_and_Transformer_Load_kVarh,NSM,WeekStatus,Day_of_week,Load_Type
0,01/01/2018 00:15,2.0605,2.95,900,Weekday,Monday,Light_Load
1,01/01/2018 00:30,2.6,4.46,1800,Weekday,Monday,Light_Load
2,01/01/2018 00:45,2.1060000000000003,3.28,2700,Weekday,Monday,Light_Load
3,01/01/2018 01:00,2.1515,3.56,3600,Weekday,Monday,Light_Load
4,01/01/2018 01:15,2.483,4.5,4500,Weekday,Monday,Light_Load
5,01/01/2018 01:30,2.132,3.56,5400,Weekday,Monday,Light_Load
6,01/01/2018 01:45,2.3400000000000003,4.14,6300,Weekday,Monday,Light_Load
7,01/01/2018 02:00,2.3400000000000003,4.28,7200,Weekday,Monday,Light_Load
8,01/01/2018 02:15,2.132,3.64,8100,Weekday,Monday,Light_Load
9,01/01/2018 02:30,2.457,4.72,9000,Weekday,Monday,Light_Load
10,01/01/2018 02:45,2.249,4.03,9900,Weekday,Monday,Light_Load
11,01/01/2018 03:00,2.1060000000000003,3.64,10800,Weekday,Monday,Light_Load
12,01/01/2018 03:15,2.574,4.97,11700,Weekday,Monday,Light_Load
13,01/01/2018 03:30,2.1515,3.74,12600,Weekday,Monday,Light_Load
14,01/01/2018 03:45,2.1515,3.85,13500,Weekday,Monday,Light_Load
15,01/01/2018 04:00,2.5285,5.0,14400,Weekday,Monday,Light_Load
16,01/01/2018 04:15,2.132,3.82,15300,Weekday,Monday,Light_Load
17,01/01/2018 04:30,2.314,4.28,16200,Weekday,Monday,Light_Load
18,01/01/2018 04:45,2.431,4.54,17100,Weekday,Monday,Light_Load
19,01/01/2018 05:00,2.1515,3.6,18000,Weekday,Monday,Light_Load
20,01/01/2018 05:15,2.314,4.07,18900,Weekday,Monday,Light_Load
21,01/01/2018 05:30,2.314,4.1,19800,Weekday,Monday,Light_Load
22,01/01/2018 05:45,2.132,3.49,20700,Weekday,Monday,Light_Load
23,01/01/2018 06:00,2.457,4.32,21600,Weekday,Monday,Light_Load
24,01/01/2018 06:15,2.1775,3.64,22500,Weekday,Monday,Light_Load
25,01/01/2018 06:30,2.1060000000000003,3.35,23400,Weekday,Monday,Light_Load
26,01/01/2018 06:45,2.5285,4.46,24300,Weekday,Monday,Light_Load
27,01/01/2018 07:00,2.1515,3.53,25200,Weekday,Monday,Light_Load
28,01/01/2018 07:15,2.132,3.49,26100,Weekday,Monday,Light_Load
29,01/01/2018 07:30,2.5025,4.75,27000,Weekday,Monday,Light_Load
30,01/01/2018 07:45,2.08,3.6,27900,Weekday,Monday,Light_Load
31,01/01/2018 08:00,2.1515,3.78,28800,Weekday,Monday,Light_Load
32,01/01/2018 08:15,2.457,4.75,29700,Weekday,Monday,Light_Load
33,01/01/2018 08:30,2.132,3.74,30600,Weekday,Monday,Light_Load
34,01/01/2018 08:45,2.2685000000000004,4.46,31500,Weekday,Monday,Light_Load
35,01/01/2018 09:00,2.5285,0.0,32400,Weekday,Monday,Light_Load
36,01/01/2018 09:15,2.3400000000000003,0.0,33300,Weekday,Monday,Light_Load
37,01/01/2018 09:30,2.6195000000000004,0.0,34200,Weekday,Monday,Light_Load
38,01/01/2018 09:45,2.548,0.0,35100,Weekday,Monday,Light_Load
39,01/01/2018 10:00,2.366,0.0,36000,Weekday,Monday,Light_Load
40,01/01/2018 10:15,2.6455,0.0,36900,Weekday,Monday,Light_Load
41,01/01/2018 10:30,2.4115,0.0,37800,Weekday,Monday,Light_Load
42,01/01/2018 10:45,2.3400000000000003,0.0,38700,Weekday,Monday,Light_Load
43,01/01/2018 11:00,2.7365,0.0,39600,Weekday,Monday,Light_Load
44,01/01/2018 11:15,2.2685000000000004,0.0,40500,Weekday,Monday,Light_Load
45,01/01/2018 11:30,2.249,0.0,41400,Weekday,Monday,Light_Load
46,01/01/2018 11:45,2.6,0.0,42300,Weekday,Monday,Light_Load
47,01/01/2018 12:00,2.2685000000000004,0.0,43200,Weekday,Monday,Light_Load
48,01/01/2018 12:15,2.3400000000000003,0.0,44100,Weekday,Monday,Light_Load
49,01/01/2018 12:30,2.7625,0.0,45000,Weekday,Monday,Light_Load
50,01/01/2018 12:45,2.3855,0.0,45900,Weekday,Monday,Light_Load
51,01/01/2018 13:00,2.3855,0.0,46800,Weekday,Monday,Light_Load
52,01/01/2018 13:15,2.7625,0.0,47700,Weekday,Monday,Light_Load
53,01/01/2018 13:30,2.366,0.0,48600,Weekday,Monday,Light_Load
54,01/01/2018 13:45,2.3855,0.0,49500,Weekday,Monday,Light_Load
55,01/01/2018 14:00,2.7820000000000005,0.0,50400,Weekday,Monday,Light_Load
56,01/01/2018 14:15,2.366,0.0,51300,Weekday,Monday,Light_Load
57,01/01/2018 14:30,2.457,0.0,52200,Weekday,Monday,Light_Load
58,01/01/2018 14:45,2.665,0.0,53100,Weekday,Monday,Light_Load
59,01/01/2018 15:00,2.366,0.0,54000,Weekday,Monday,Light_Load
60,01/01/2018 15:15,2.548,0.0,54900,Weekday,Monday,Light_Load
61,01/01/2018 15:30,2.665,0.0,55800,Weekday,Monday,Light_Load
62,01/01/2018 15:45,2.3400000000000003,0.0,56700,Weekday,Monday,Light_Load
63,01/01/2018 16:00,2.574,0.0,57600,Weekday,Monday,Light_Load
