datetime,T_out,occupancy_rate,day_off
2024-01-01 00:00:00,-11.1,0.0,1
2024-01-01 01:00:00,-12.0,0.0,1
2024-01-01 02:00:00,-12.4,0.0,1
2024-01-01 03:00:00,-12.1,0.0,1
2024-01-01 04:00:00,-12.7,0.0,1
2024-01-01 05:00:00,-13.0,0.0,1
2024-01-01 06:00:00,-12.7,0.0,1
2024-01-01 07:00:00,-13.3,0.0,1
2024-01-01 08:00:00,-13.2,0.0,1
2024-01-01 09:00:00,-12.2,0.0,1
2024-01-01 10:00:00,-12.3,19.29,1
2024-01-01 11:00:00,-12.3,30.76,1
2024-01-01 12:00:00,-11.9,43.43,1
2024-01-01 13:00:00,-12.8,27.99,1
2024-01-01 14:00:00,-13.2,35.78,1
2024-01-01 15:00:00,-13.3,47.45,1
2024-01-01 16:00:00,-13.8,43.14,1
2024-01-01 17:00:00,-14.2,62.32,1
2024-01-01 18:00:00,-14.9,50.38,1
2024-01-01 19:00:00,-15.1,45.42,1
2024-01-01 20:00:00,-15.7,62.94,1
2024-01-01 21:00:00,-15.8,40.31,1
2024-01-01 22:00:00,-16.3,0.0,1
2024-01-01 23:00:00,-16.9,0.0,1
2024-01-02 00:00:00,-16.4,0.0,1
2024-01-02 01:00:00,-18.1,0.0,1
2024-01-02 02:00:00,-18.7,0.0,1
2024-01-02 03:00:00,-18.5,0.0,1
2024-01-02 04:00:00,-18.7,0.0,1
2024-01-02 05:00:00,-19.2,0.0,1
2024-01-02 06:00:00,-20.2,0.0,1
2024-01-02 07:00:00,-19.6,0.0,1
2024-01-02 08:00:00,-19.6,0.0,1
2024-01-02 09:00:00,-20.1,0.0,1
2024-01-02 10:00:00,-19.0,34.83,1
2024-01-02 11:00:00,-18.9,25.85,1
2024-01-02 12:00:00,-18.6,45.78,1
2024-01-02 13:00:00,-19.4,30.16,1
2024-01-02 14:00:00,-19.9,42.43,1
2024-01-02 15:00:00,-19.3,57.44,1
2024-01-02 16:00:00,-20.6,63.37,1
2024-01-02 17:00:00,-20.9,63.57,1
2024-01-02 18:00:00,-20.5,60.54,1
2024-01-02 19:00:00,-21.6,59.13,1
2024-01-02 20:00:00,-22.2,41.84,1
2024-01-02 21:00:00,-21.6,37.69,1
2024-01-02 22:00:00,-23.1,0.0,1
2024-01-02 23:00:00,-23.6,0.0,1
2024-01-03 00:00:00,-23.0,0.0,1
2024-01-03 01:00:00,-24.5,0.0,1
2024-01-03 02:00:00,-24.8,0.0,1
2024-01-03 03:00:00,-24.5,0.0,1
2024-01-03 04:00:00,-25.1,0.0,1
2024-01-03 05:00:00,-25.3,0.0,1
2024-01-03 06:00:00,-25.3,0.0,1
2024-01-03 07:00:00,-25.2,0.0,1
2024-01-03 08:00:00,-24.8,0.0,1
2024-01-03 09:00:00,-24.3,0.0,1
2024-01-03 10:00:00,-23.1,37.3,1
2024-01-03 11:00:00,-22.7,49.34,1
2024-01-03 12:00:00,-22.8,46.33,1
2024-01-03 13:00:00,-22.9,55.05,1
2024-01-03 14:00:00,-23.5,51.84,1
2024-01-03 15:00:00,-24.0,51.14,1
2024-01-03 16:00:00,-25.0,71.63,1
2024-01-03 17:00:00,-25.2,77.14,1
2024-01-03 18:00:00,-25.0,68.53,1
2024-01-03 19:00:00,-25.8,79.61,1
2024-01-03 20:00:00,-26.3,61.89,1
2024-01-03 21:00:00,-25.6,40.04,1
2024-01-03 22:00:00,-25.7,0.0,1
2024-01-03 23:00:00,-26.1,0.0,1
2024-01-04 00:00:00,-25.9,0.0,1
2024-01-04 01:00:00,-26.8,0.0,1
2024-01-04 02:00:00,-27.1,0.0,1
2024-01-04 03:00:00,-26.4,0.0,1
2024-01-04 04:00:00,-26.9,0.0,1
2024-01-04 05:00:00,-26.9,0.0,1
2024-01-04 06:00:00,-26.9,0.0,1
2024-01-04 07:00:00,-26.2,0.0,1
2024-01-04 08:00:00,-25.4,0.0,1
2024-01-04 09:00:00,-24.5,0.0,1
2024-01-04 10:00:00,-23.0,42.98,1
2024-01-04 11:00:00,-22.4,34.28,1
2024-01-04 12:00:00,-22.3,42.84,1
2024-01-04 13:00:00,-22.4,51.69,1
2024-01-04 14:00:00,-23.0,71.85,1
2024-01-04 15:00:00,-24.2,66.47,1
2024-01-04 16:00:00,-24.4,57.96,1
2024-01-04 17:00:00,-24.6,74.22,1
2024-01-04 18:00:00,-24.9,70.18,1
2024-01-04 19:00:00,-25.0,78.94,1
